source,reference,hypothesis,chrf,bertscore_p,bertscore_r,bertscore_f1,glossary_hits,glossary_misses,capitalised_noun_count,separable_verb_count,error_category
"„Heute hat das ägyptische Volk das Fundament für ein neues Leben gelegt – absolute Freiheit, eine echte Demokratie und Stabilität“, sagte der 60-jährige Mursi, ein in den USA ausgebildeter Ingenieur und Mitglied der Muslimbruderschaft, einer fundamentalistischen Gruppe, die seit ihrer Gründung vor 84 Jahren meist als verbotene Organisation von der jeweiligen Regierung scharf ins Visier genommen worden war.","""Today, the Egyptian people laid the foundation of a new life - absolute freedom, a genuine democracy and stability,"" said Morsi, a 60-year-old US-trained engineer from the Muslim Brotherhood, a fundamentalist group that has spent most of the 84 years since its inception as an outlawed organisation harshly targeted by successive governments.","""Today, the Egyptian people have laid the foundation for a new life – absolute freedom, a true democracy and stability,"" said 60-year-old Morsi, a US-trained engineer and member of the Muslim Brotherhood, a fundamentalist group that, since its foundation 84 years ago, had been heavily targeted by the respective government as a banned organization.",70.71,0.9531,0.9522,0.9527,,,16,0,GOOD
"Auf Fernsehbildern war zu sehen, wie zahlreiche Kranken- und Polizeiwagen vor einem Terminal vorfuhren.",Television footage revealed how numerous ambulances and police cars arrived at a terminal.,"On television pictures, there were numerous ambulances and police cars in front of a terminal.",60.14,0.9466,0.9481,0.9473,,,3,0,GOOD
"„Es gibt keinen Grund für eine Operation, wenn ein Aspirin auch ausreicht“, erläutert Randy Rentschler, der Leiter für Gesetzgebung und öffentliche Angelegenheiten der Kommission.","""There is no need for radical surgery when all you need to do is take an aspirin,"" said Randy Rentschler, the commission's director of legislation and public affairs.","""There is no reason for an operation if an aspirin is sufficient,"" explains Randy Rentschler, Head of Legislation and Public Affairs of the Commission.",45.56,0.9519,0.9407,0.9463,,,7,0,GOOD
"Im Anschluss an die Präsentation des Hochwasserschutzkonzepts nutzten die Teilnehmer die Gelegenheit, ihre Anliegen einzubringen.","In conjunction with the presentation of the flood protection concept, the participants made use of the opportunity to submit their concerns.","Following the presentation of the flood protection concept, the participants took the opportunity to contribute their concerns.",72.21,0.9822,0.9678,0.9749,,,4,0,GOOD
"Mit Macheten und Messern bewaffnet erstachen sie am Dienstag den 11-Jährigen und warfen den Leichnam in einen Brunnen, berichtete die Zeitung ""El País"" am Donnerstag.","On Tuesday, armed with machetes and knives, they stabbed the 11-year-old to death and threw the body into a well, reported the ""El País"" newspaper on Thursday.","Armed with machetes and knives, they stabbed the 11-year-old on Tuesday and threw the body in a well, reports the newspaper ""El País"" on Thursday.",77.56,0.9847,0.9818,0.9832,,,7,0,GOOD
Ein Traumwetter hatte die Tennisabteilung der Sportfreunde Rohrdorf zum Turnier der örtlichen Vereine und Freunde erhalten.,The tennis division of the Sportfreunde Rohrdorf (Rohrdorf Sports Fans) enjoyed perfect weather for the tournament for local clubs and enthusiasts.,The tennis department of Sportfreunde Rohrdorf had received a dream weather for the tournament of local clubs and friends.,53.06,0.9236,0.9097,0.9166,,,6,0,SEMANTIC
"Insgesamt konnte die allgemeine Rücklage um rund 2,1 Millionen Euro auf jetzt insgesamt 4,9 Millionen Euro gesteigert werden.","In total, they managed to increase the general contingency reserves by around EUR 2.1 million, to a total of EUR 4.9 million.","Overall, the general reserve was increased by around 2.1 million euros to a total of 4.9 million euros.",49.79,0.9714,0.958,0.9647,,,5,0,GOOD
"Wir haben beschlossen, einen ersten Flug zu unternehmen und dann einen Überarbeitungszeitraum anzuhängen, was wir auch getan haben.",We had decided to do a first flight and to do an update period and that's what we have done.,"We have decided to take a first flight and then to add a revision period, which we have also done.",51.36,0.9287,0.9311,0.9299,,,2,0,GOOD
In der Damenwertung war Christiane Cohsmann die Zeitschnellste im Hauptrennen.,"In the ladies' race, Christiane Cohsmann achieved the fastest time in the main race.",Christiane Cohsmann was the fastest time in the main race.,64.37,0.9701,0.9531,0.9615,,,3,0,GOOD
"Was bleibt, mag man sich fragen, doch bei näherer Betrachtung zeichnet sich die vegane Ernährungswelt durch einen beachtlichen Einfallsreichtum aus.","You might ask what is left, however, upon closer inspection the world of vegan nutrition is characterised by great resourcefulness.","What remains may be asked, but on closer inspection the vegan food world is characterized by a considerable ingenuity.",41.11,0.9323,0.9262,0.9293,,,3,0,GOOD
