de,en
"„Heute hat das ägyptische Volk das Fundament für ein neues Leben gelegt – absolute Freiheit, eine echte Demokratie und Stabilität“, sagte der 60-jährige Mursi, ein in den USA ausgebildeter Ingenieur und Mitglied der Muslimbruderschaft, einer fundamentalistischen Gruppe, die seit ihrer Gründung vor 84 Jahren meist als verbotene Organisation von der jeweiligen Regierung scharf ins Visier genommen worden war.","""Today, the Egyptian people laid the foundation of a new life - absolute freedom, a genuine democracy and stability,"" said Morsi, a 60-year-old US-trained engineer from the Muslim Brotherhood, a fundamentalist group that has spent most of the 84 years since its inception as an outlawed organisation harshly targeted by successive governments."
"Auf Fernsehbildern war zu sehen, wie zahlreiche Kranken- und Polizeiwagen vor einem Terminal vorfuhren.",Television footage revealed how numerous ambulances and police cars arrived at a terminal.
"„Es gibt keinen Grund für eine Operation, wenn ein Aspirin auch ausreicht“, erläutert Randy Rentschler, der Leiter für Gesetzgebung und öffentliche Angelegenheiten der Kommission.","""There is no need for radical surgery when all you need to do is take an aspirin,"" said Randy Rentschler, the commission's director of legislation and public affairs."
"Im Anschluss an die Präsentation des Hochwasserschutzkonzepts nutzten die Teilnehmer die Gelegenheit, ihre Anliegen einzubringen.","In conjunction with the presentation of the flood protection concept, the participants made use of the opportunity to submit their concerns."
"Mit Macheten und Messern bewaffnet erstachen sie am Dienstag den 11-Jährigen und warfen den Leichnam in einen Brunnen, berichtete die Zeitung ""El País"" am Donnerstag.","On Tuesday, armed with machetes and knives, they stabbed the 11-year-old to death and threw the body into a well, reported the ""El País"" newspaper on Thursday."
Ein Traumwetter hatte die Tennisabteilung der Sportfreunde Rohrdorf zum Turnier der örtlichen Vereine und Freunde erhalten.,The tennis division of the Sportfreunde Rohrdorf (Rohrdorf Sports Fans) enjoyed perfect weather for the tournament for local clubs and enthusiasts.
"Insgesamt konnte die allgemeine Rücklage um rund 2,1 Millionen Euro auf jetzt insgesamt 4,9 Millionen Euro gesteigert werden.","In total, they managed to increase the general contingency reserves by around EUR 2.1 million, to a total of EUR 4.9 million."
"Wir haben beschlossen, einen ersten Flug zu unternehmen und dann einen Überarbeitungszeitraum anzuhängen, was wir auch getan haben.",We had decided to do a first flight and to do an update period and that's what we have done.
In der Damenwertung war Christiane Cohsmann die Zeitschnellste im Hauptrennen.,"In the ladies' race, Christiane Cohsmann achieved the fastest time in the main race."
"Was bleibt, mag man sich fragen, doch bei näherer Betrachtung zeichnet sich die vegane Ernährungswelt durch einen beachtlichen Einfallsreichtum aus.","You might ask what is left, however, upon closer inspection the world of vegan nutrition is characterised by great resourcefulness."
"Im September begann das Unternehmen damit, bei Buchung über ein Online-Reisebüro nur noch halb so viele Vielfliegermeilen zu vergeben.",In September it began giving half as many frequent flier miles to customers who bought through an online travel agency.
"Es fällt schwer, sich an diese optimistischen Zeiten zu erinnern – sie scheinen eine vage Erinnerung zu sein, eine traurige Mahnung an verpasste Möglichkeiten.","It's hard to remember those days of optimism -- they seem a distant memory, a sad reminder of opportunities gone by."
"Es wäre für Schottland lächerlich, sich jetzt für eine Unabhängigkeit zu entscheiden, nur um dann von Berlin und Brüssel eine Sparpolitik aufgezwungen zu bekommen.",It would be ridiculous now for Scotland to vote for independence only to accept austerity imposed by Berlin and Brussels.
Außerdem lobte er die Familienfreundlichkeit im Landkreis.,He also praised the family-friendly approach within the district.
Im Ernstfall erfolgt eine Unterstützung über die Tageseinsatzgruppe Königsfeld.,"In case of emergency, support is provided by the Königsfeld daytime task force."
"Die schattenhafte National Security Agency erklärte am späten Freitag, ein Fehler habe ihre öffentliche Website einige Stunden lahmgelegt und nicht Hacker, wie online behauptet wurde.","The shadowy National Security Agency said late Friday that it was a glitch that brought down its public website for a few hours, not hackers as some claimed online."
"Nach dem Besuch des Atomkeller-Museums soll die Haigerlocher Zeit nach 1850 betrachtet werden, als Haigerloch unter preussische Herrschaft kam.","Following a visit to the Nuclear Bunker Museum, the focus will turn to Haigerloch in the period after 1850, when Haigerloch came under Prussian rule."
Das Unternehmen hat am Standort gleich mehrere Eisen im Feuer.,"At the same time, the company also has other irons in the fire at the location."
"Kritiker wie die demokratische Senatorin Claire McCaskill aus Missouri vertreten die Ansicht, es gebe keine gültigen Sicherheitsgründe für das Verbot.","Critics such as Sen. Claire McCaskill, D-Mo., contend there is no valid safety reason for the prohibitions."
RBS suspendiert zwei Devisenhändler,RBS suspends two forex traders
Dort soll beim Sägen ein Kurzschluss entstanden sein.,A short-circuit was reported to have occurred there during sawing.
Der Handel am Nasdaq Options Market wurde am Freitagnachmittag deutscher Zeit unterbrochen.,"Trading at the Nasdaq Options Market was interrupted on Friday afternoon, German time."
Vor allen Dingen in der Deckungsarbeit und beim Umschaltspiel haperte es zuletzt doch gewaltig.,"There have been major problems, primarily in terms of covering and counter attacking."
Gestern relativierte Obama sein ursprüngliches Versprechen.,"Yesterday, Obama tweaked his original pledge."
"Uli als Chef der großen Schinkenfabrik im Schwarzwald erklärt Jumbo die Arbeitsweise der Firma ""Adler"" in Bonndorf.","Uli, boss of the large ham factory in Schwarzwald, explained to Jumbo how the Bonndorf company, ""Adler"", operates."
"Nächste Station des Rundgangs ist das Prätorium, und hier steigen die Teilnehmer wieder hinunter in die Tiefe.","The next stop on the tour is the praetorium, where participants once again descend to the depths."
"Milch, Käse, Ei, neben den Verzicht auf Fleisch und Fisch lässt der Veganer vom sämtlichen Verzehr tierischer Produkte ab - auch Honig wird verneint.","Milk, cheese, egg - alongside avoiding meat and fish, vegans refrain from eating all products of animal origin - even honey is not permitted."
"Deutschland und ein paar seiner Satelliten-Wirtschaften halten vielleicht am Euro fest, aber Frankreich und Südeuropa werden zu ihren eigenen Währungen zurückkehren.",Germany and a few of its satellite economies might keep the euro but France and southern Europe will revive their own currencies.
Für Fragen und Informationen steht das Tourismusbüro der Stadt Haigerloch zur Verfügung.,The Haigerloch Town Tourist Office is available for questions and to provide you with information.
"„War das in diesen Telefongesprächen besprochene Thema die Ausarbeitung der kommerziellen Verpachtungsregelungen?“, fragte das stellvertretende Kommissionsmitglied Anthony Whealy Tripodi.","""Was the matter being discussed in the course of these telephone conversations the development of the commercial lease policy,"" Assistant Commissioner Anthony Whealy asked Mr Tripodi."
"Meine Klassenkameraden weinten vor Freude und meine Eltern sammelten alle Zeitungen, die sie finden konnten.","My classmates cried with joy, and my parents saved every newspaper they could find."
"Fest steht, dass die 19 Jahre alte Lenkerin eines VW Golf in Richtung Revensdorf fuhr und der 38-jährige Mann aus Gettorf ihr mit seinem Hyundai entgegen kam.",What is certain is that the 19-year-old female driver of a VW Golf was driving in the direction of Revensdorf and the 38-year-old man from Gettorf came towards her in his Hyundai.
"Die Katastrophen seiner katholischen Dorfkindheit - die Sprachlosigkeit, der Hang zu roher Gewalt und stumpfer Sexualität, die Enge und Freudlosigkeit - hat der Kärntner Dichter vielfach beschrieben.","The catastrophes of his Catholic village upbringing - the speechlessness, his tendency towards brute force and dulled sexuality, the confinement and lack of joy - all of this has been described many times by the Kaernten-born poet."
"Die SPD möchte den Zwang für in Deutschland geborene Zuwandererkinder, sich für eine zu entscheiden, beenden - die Union lehnt einen Doppelpass ab.",The SPD would like to put an end to the pressure placed on immigrant children to decide on one nationality - the Union rejects the notion of a dual passport.
"Wer Köln besucht, kommt am Dom nicht vorbei.",Anyone visiting Cologne cannot miss the cathedral.
Körperliche Veränderungen bedeuten noch nicht unmittelbar die Pubertät,Physical changes don't mean puberty is imminent
Vor kurzem erst ist ein Buch von ihr erschienen zum Thema 'Glücklich wohnen im Alter - Welche Wohnform ist die beste für mich?'.,"Only recently, she released a book on the subject of ""Living happily in old age - Which type of property is the best for me?""."
"Allerdings gebe es verschiedene Zeugenaussagen, die erst ausgewertet werden sollten.","However, they did mention that there were various witness statements that first had to be assessed."
"Hier ganz besonders Lothar Held, Paul Weizenegger, Heiner Gail und Peter Graf.","Particular mention went out to Lothar Held, Paul Weizenegger, Heiner Gail and Peter Graf."
"""Ein unruhiger Geist hatte endlich seine Ruhe gefunden und war für immer heimgegangen"", hieß es am Ende des Szenenspiels.","The role-play ended with the words ""A restless spirit finally found rest and returned home forever""."
Bis zum jetzigen Zeitpunkt kann die Polizeiinspektion Kempten auf eine ruhige Halloween-Nacht zurückblicken.,"Thus far, the Kempten Police Department can look back on a calm Halloween night."
Jeder Hersteller plant anders.,Every manufacturer schedules it in a different way.
"""Neu daran ist, dass die sechsmonatigen Kurse mit Abschlüssen enden"", sagte Carmen Wiechert von der Arbeitsagentur Neubrandenburg.","""What's innovative about it is that the six-month courses end with diplomas,"" said Carmen Wiechert of the Neubrandenburg Employment Agency."
"""Ich hoffe, dass wir endlich mal den Kopf frei haben"", gibt sich Ehlers verhalten optimistisch.","""I hope that we finally have our heads clear,"" commented Ehlers, remaining cautiously optimistic."
"Zwar sei die Quote mit 3,1 Prozent besser als vergangenes Jahr und auch besser als im September, ""wir hätten uns aber mehr erhofft"", sagt Monika Felder-Bauer, stellvertretende Geschäftsstellenleiterin der Agentur für Arbeit in Sonthofen.","The rate of 3.1 per cent is indeed better than the previous year and is also better than in September, ""however, we had hoped for more,"" said Monika Felder-Bauer, acting branch manager of the Employment Agency in Sonthofen."
"Honeck dankte in diesem Rahmen allen, die geholfen hatten, den ersten Musikerhock erfolgreich zu bewältigen.","In so doing, Honeck thanked all those who had helped successfully manage the first Musikerhock."
Im Alter hat jeder so seine Ticks und Macken,In old age everyone has their quirks and ticks.
"Dieser Händler, Richard Usher, hatte die RBS 2010 verlassen und soll inzwischen von seiner derzeitigen Position als europäischer Leiter des Forex-Spot-Handels bei JPMorgan beurlaubt worden sein.","This trader, Richard Usher, left RBS in 2010 and is understand to have be given leave from his current position as European head of forex spot trading at JPMorgan."
"„Nach Auffassung der Staatsanwaltschaft ist Coulson, der jetzt Herausgeber der NotW ist, niemand, der vor der Wohnung von Leuten steht und hofft, sie auf frischer Tat zu ertappen, sondern einer, der Leute gern mit einer Geschichte konfrontiert, um ihre Reaktion zu sehen“, erklärte Edis.","""The prosecution suggests that Mr Coulson, who is now the editor of the NotW, he is not the man who stands outside people's houses hoping to catch them out, he is the man who likes to put the story to people to see what they will say,"" Mr Edis said."
"Die US-amerikanische Federal Aviation Administration (FAA) ermöglicht US-Fluggesellschaften, ihre Vorgaben zu ändern, sodass Passagiere auf ihren Geräten während kritischer Flugphasen E-Books lesen, Videos sehen oder spielen können, sofern diese sich im „Flugmodus“ befinden.","The US Federal Aviation Administration has left the way open for American carriers to change their procedures so that passengers will be able to read e-books, watch videos or play games on their devices during critical phases of flight provided they remain in ""airplane"" mode."
"„Das Redaktionsmanagement des Neuen Express war ungeordnet“, gab die Regulierungsbehörde in einer Erklärung bekannt.","""New Express's editorial management was disordered,"" the regulator said in a statement."
"Am Samstag, 26. Oktober, wird diese außergewöhnliche Messe ab 19 während der Abendmesse in der St. Martinuskirche Dunningen und am Sonntag, 27. Oktober, ab 10.15 Uhr beim Gottesdienst in der St. Johannes Baptistkirche in Lackendorf zu hören sein.","On Saturday 26 October, this exceptional mass will be heard from 7.00 p.m. during the evening mass in the St. Marinuskirche Dunningen and on Sunday 27 October, from 10.15, at the service in the St. Johannes Baptistkirche in Lackendorf."
Er sagt: „Ich möchte gern eine unsichtbare Eiscreme entwickeln.“,"He said: ""I really want to develop an invisible ice cream."""
"Frontier Airlines plant, bis zu 100 US-Dollar von Passagieren zu verlangen, die auf ihrem Flug Handgepäck verstauen möchten.",Frontier Airlines plans to charge up to $100 for passengers to store carry-on luggage on board their flight.
"""Meine B12-Werte sind in Ordnung"", erklärt er.","""My B12 values are fine,"" he explained."
"„So funktioniert das nicht“, sagt Hasso Plattner, Vorsitzender des deutschen Softwareherstellers SAP.","""That's not the way,"" Hasso Plattner, chairman of German business software company SAP, says."
In der B-Klasse standen sich in der Murgtalhalle in Baiersbronn die zweiten Mannschaften aus Baiersbronn und Freudenstadt gegenüber.,"In the B Class, two teams from Baiersbronn and Freudenstadt faced off in the Murgtalhalle in Baiersbronn."
"Vor zehn Jahren hatte der lokale Künstler Martin Andersen den Vorschlag präsentiert, die Strahlen mit Spiegeln ins Tal zu lenken.","Ten years ago, local artist Martin Andersen presented the proposal of directing the sun into the valley using mirrors."
"Man muss sich in Erinnerung rufen, dass der Präsident damals furchtbare Umfragewerte hatte, also dachten wir: „Um Gottes Willen, was machen wir?“","You have to remember, at that point the President was in awful shape, so we were like, ""Holy Christ, what do we do?"""
"Die Ankündigung der Band kam, nachdem sie zuvor schon einen Auftritt in der LG Arena in Birmingham am Donnerstag verschieben musste.",The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.
"Im Vereinslokal der Gaststätte ""Witteborg"" in Dinker genossen alle das harmonische Miteinander ganz im Zeichen der Musik.","In the clubhouse at the ""Witteborg"" Inn in Dinker, all those present enjoyed the friendly get-together in the name of music."
Bis zur Fertigstellung werden aber noch einige Jahre vergehen.,"However, it will be a few years before it is complete."
Was sind die grundlegenden physikalischen Gesetze des Universums?,What are the basic physical laws of the Universe?
"Seit 2006 seien acht derartige Tunnel entdeckt worden, hieß es auf der Pressekonferenz in San Diego weiter.","Since 2006, eight tunnels of this type have been discovered, the press conference in San Diego continued."
"Zwar wird es keine formelle Anforderung geben, im Stundenplan mehr Zeit für Mathematik vorzusehen, doch aus Koalitionskreisen heißt es, die umfassende Matheprüfung – kombiniert mit einer stärkeren Gewichtung des Fachs in Ranglisten – werde Schulen vermutlich dazu ermutigen, mehr Stunden anzusetzen.","While there will be no formal requirement to devote more of the timetable to maths, Coalition sources said the extensive maths GCSE - combined with more weighting for the subject in league tables - was likely to encourage schools to provide extra teaching."
"Viel Spaß versprechen auch die vielen alten Spiele, wie Schubkarren-Rennen oder Stelzenlaufen.","The host of old games, such as wheelbarrow racing or walking on stilts, promises plenty of fun."
Laut deutschen Medien wollte das BVT das Vorhandensein von Überwachungsantennen nachweisen und die Aktion führte zu einem Wortwechsel zwischen den USA und dem deutschen Außenministerium in Berlin.,German media say the BfV hoped to identify the presence of listening antennas and the action prompted an exchange between the US and the German foreign ministry in Berlin.
"Frontier-Sprecherin Kate O'Malley sagte, die Gebühr von 100 US-Dollar ziele darauf ab, Reisende zu bewegen, sich im Vorfeld um die Zahlung zu kümmern.",Frontier spokeswoman Kate O'Malley said the $100 fee is to get travelers to take care of the charge in advance.
Neben dem Kohleimport setzt Rhenus Midgard unter anderem auf Windanlagen-Logistik.,"Besides coal imports, Rhenus Midgard is also active in the field of wind park logistics, among other ventures."
"Doch bisher sind verbindliche Bestellungen für die CSeries mit 177 moderat, da potenzielle Käufer auf die Ergebnisse der Flugtests warten und sehen möchten, ob die Behauptungen des Unternehmens hinsichtlich Treibstoffeffizienz und Kosteneinsparpotenzial des neuen Düsenverkehrsflugzeugs zutreffend sind.",But firm orders for the CSeries are moderate so far at 177 as potential buyers wait for flight test results to validate the company's claims about the new jetliner's fuel efficiency and cost savings potential.
"Anschließend gestand er als erstes hochrangiges Mitglied der US-amerikanischen Regierung ein, dass die US-Spionage eine Grenze überschritten habe, betonte aber auch, dass keine Rechte missbraucht worden seien.","He then became the first high-ranking member of the U.S government to admit that US spying had crossed the line, but emphasised that no one's rights had been abused."
